"","text","date","time","textfre","score","result","name"
"1"," and guess what puff n stuff bidens legal army will be watching you and your thieves too ",2020-09-17,"23:48:20"," guess puff n stuff bidens legal army will watching thieves ",0,"neutral","biden"
"2","my student research groups first publication is now online in this piece david martinez analyzes bidens foreign ",2020-09-17,"23:44:57"," student research groups first publication now online piece david martinez analyzes bidens foreign ",-1,"negative","biden"
"3"," why isnt ag barr doing something about these mail in ballots this election is going to be rigged in biden ",2020-09-17,"23:40:23"," isnt ag barr something mail ballots election going rigged ",-1,"negative","biden"
"4"," presidential election news update uk lawmaker hits biden for lectures on brexit after trade deal warning ",2020-09-17,"23:37:55"," presidential election news update uk lawmaker hits lectures brexit trade deal warning ",0,"neutral","biden"
"5","since the dnc how has the biden campaign been using the obamas given no rallies are they in ads on local radio ",2020-09-17,"23:28:40","since dnc campaign using obamas given rallies ads local radio ",0,"neutral","biden"
"6","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-17,"23:25:35","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"7","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-17,"23:25:26","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"8","wesleyan media project trump shifts focus from crime to jobs biden highlights covid vi ",2020-09-17,"23:15:01","wesleyan media project shifts focus crime jobs highlights covid vi ",0,"neutral","biden"
"9","will biden concede his health is poor and pass the job to harris before or after the election i think its next to ",2020-09-17,"23:10:05","will concede health poor pass job harris election think next ",-1,"negative","biden"
"10","todays weighted supreme court rulings will likely boost biden against trump in this key ",2020-09-17,"23:08:18","todays weighted supreme court rulings will likely boost key ",2,"postive","biden"
"11","want to keep social security beat covid elect joe biden jill biden tells florida seniors ",2020-09-17,"23:02:32","want keep social security beat covid elect jill tells florida seniors ",1,"postive","biden"
"12"," ok now do biden you lefties are ridiculous if you think this kind of crap is going to influence anyth ",2020-09-17,"23:00:17"," ok now lefties ridiculous think kind crap going influence anyth ",-1,"negative","biden"
"13","new post joe biden unisex jersey has been published on ",2020-09-17,"22:59:34","new post unisex jersey published ",1,"postive","biden"
"14","explain why biden has dropped in the last week with the news about trump concealing what he knew id have expecte ",2020-09-17,"22:59:33","explain dropped last week news concealing knew id expecte ",0,"neutral","biden"
"15","expence aide throws support behind biden citing trumps virus response ",2020-09-17,"22:59:20","expence aide throws support behind citing virus response ",0,"neutral","biden"
"16"," presidential election news update bloombergs bucks quickly paying dividends for biden in florida ",2020-09-17,"22:53:25"," presidential election news update bloombergs bucks quickly paying dividends florida ",0,"neutral","biden"
"17","everyone needs to go out and vote in november it dosent matter if youre voting for trump biden or a third party ",2020-09-17,"22:53:16","everyone needs go vote november dosent matter youre voting third party ",1,"postive","biden"
"18","expence adviser says trump bungled virus shes for biden ",2020-09-17,"22:49:51","expence adviser says bungled virus shes ",0,"neutral","biden"
"19","joe biden living in the land of the lost ",2020-09-17,"22:40:51"," living land lost ",0,"neutral","biden"
"20"," bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-17,"22:25:40"," bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"21","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-17,"22:25:32","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"22"," why does trump think he can beat biden when he lost to clinton by over million votes and nobody li ",2020-09-17,"22:25:18"," think can beat lost clinton million votes nobody li ",-1,"negative","biden"
"23","how race and educational attainment factor into bidens lead via ",2020-09-17,"22:20:03"," race educational attainment factor bidens lead via ",3,"postive","biden"
"24","its funny how people will tell you not to vote for trump because hes racist but then tell you to vote for biden e ",2020-09-17,"22:11:04"," funny people will tell vote hes racist tell vote e ",-1,"negative","biden"
"25"," presidential election news update twitter public policy director decamps for biden transition team ",2020-09-17,"22:01:00"," presidential election news update twitter public policy director decamps transition team ",2,"postive","biden"
"26","joe biden must start talking like a climate leader ",2020-09-17,"21:59:00"," must start talking like climate leader ",2,"postive","biden"
"27","the pa supreme court put its thumb on the election scale in favor of joe biden in a likely appropriate decision t ",2020-09-17,"21:56:46"," pa supreme court put thumb election scale favor likely appropriate decision t ",3,"postive","biden"
"28","dems fear wisconsin governor is becoming a liability for biden via ",2020-09-17,"21:44:33","dems fear wisconsin governor becoming liability via ",-2,"negative","biden"
"29","expence aide olivia troye says she will vote for biden after trumps handling of coronavirus the washington post ",2020-09-17,"21:38:47","expence aide olivia troye says will vote handling coronavirus washington post ",0,"neutral","biden"
"30","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-17,"21:25:51","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"31","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-17,"21:25:44","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"32","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-17,"21:25:36","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"33","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-17,"21:25:22","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"34","average of the polls latest numbers in the trumpbiden election as of wednesday the real clear politics ave ",2020-09-17,"21:20:28","average polls latest numbers trumpbiden election wednesday real clear politics ave ",3,"postive","biden"
"35","people who score highly on a hostile sexism scale are more likely to vote for biden in than clinton in m ",2020-09-17,"21:17:36","people score highly hostile sexism scale likely vote clinton m ",1,"postive","biden"
"36","bidenharris are unquestionably better than dumb donald but they arent good for america they just arent the ins ",2020-09-18,"23:54:25","bidenharris unquestionably better dumb arent good america just arent ins ",2,"postive","biden"
"37","biden will use trump installing another associate justice to gin up the dem base ",2020-09-18,"23:46:38"," will use installing another associate justice gin dem base ",2,"postive","biden"
"38","battle on the iron range donald trump joe biden duel in via ",2020-09-18,"23:43:22","battle iron range duel via ",0,"neutral","biden"
"39","christian conservatives like me should not let abortion and socialism scare us off biden ",2020-09-18,"23:41:51","christian conservatives like let abortion socialism scare us ",-1,"negative","biden"
"40","conservative media is setting the stage for delegitimizing a biden victory via ",2020-09-18,"23:38:43","conservative media setting stage delegitimizing victory via ",0,"neutral","biden"
"41","icymi the hill democrats dreading the debates and bidens factchecking abilities ",2020-09-18,"23:37:35","icymi hill democrats dreading debates bidens factchecking abilities ",0,"neutral","biden"
"42","biden in duluth trump in bemidji two very different approaches ",2020-09-18,"23:31:31"," duluth bemidji two different approaches ",-2,"negative","biden"
"43","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-18,"23:25:46","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"44","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-18,"23:25:36","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"45","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-18,"23:25:22","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"46","biden aced the town hall why didnt trump taking questions from voters is a basic skill for politicians the pr ",2020-09-18,"23:22:06"," aced town hall didnt taking questions voters basic skill politicians pr ",1,"postive","biden"
"47","polls biden keeps electoral college lead but its fragile ",2020-09-18,"23:21:26","polls keeps electoral college lead fragile ",0,"neutral","biden"
"48","trump vs biden live updates the new york times ",2020-09-18,"23:12:44"," vs live updates new york times ",1,"postive","biden"
"49","poll added in necd gsg to biden trump new necd average ",2020-09-18,"23:12:22","poll added necd gsg new necd average ",1,"postive","biden"
"50","i will bet whatever amount that makes you uncomfortable that biden loses this election slide into my dms robby a ",2020-09-18,"23:07:55"," will bet whatever amount makes uncomfortable loses election slide dms robby ",-2,"negative","biden"
"51","poll added in mecd siena to biden trump new mecd average ",2020-09-18,"23:07:29","poll added mecd siena new mecd average ",1,"postive","biden"
"52","poll added in nc siena wp to biden trump jorgensen hawkins new nc ",2020-09-18,"23:01:51","poll added nc siena wp jorgensen hawkins new nc ",1,"postive","biden"
"53","poll added in meall siena wp to biden trump jorgensen hawkins ne ",2020-09-18,"22:58:01","poll added meall siena wp jorgensen hawkins ne ",0,"neutral","biden"
"54","poll added in wi morning consult to biden trump new wi a ",2020-09-18,"22:52:24","poll added wi morning consult new wi ",1,"postive","biden"
"55","its time to reward hard work in america not wealth joe biden ",2020-09-18,"22:51:38"," time reward hard work america wealth ",-1,"negative","biden"
"56","poll added in wi civiqs to biden trump new wi average biden ",2020-09-18,"22:49:54","poll added wi civiqs new wi average ",1,"postive","biden"
"57","what the trump and biden town halls taught us about their upcoming debates ",2020-09-18,"22:49:13"," town halls taught us upcoming debates ",1,"postive","biden"
"58","biden vs trump tipping point change biden by in pa biden by in pa more info from ",2020-09-18,"22:41:15"," vs tipping point change pa pa info ",1,"postive","biden"
"59","ran my own simulation heres the results of the random simulations based on current data biden ",2020-09-18,"22:37:12","ran simulation heres results random simulations based current data ",1,"postive","biden"
"60","any biden supporter able to answer why harrisbiden administration supports free healthcare for undocumented immigr ",2020-09-18,"22:35:11"," supporter able answer harrisbiden administration supports free healthcare undocumented immigr ",2,"postive","biden"
"61","poll added in pa civiqs to biden trump new pa average biden ",2020-09-18,"22:26:38","poll added pa civiqs new pa average ",1,"postive","biden"
"62","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-18,"22:25:41","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"63","poll added in oh civiqs to biden trump new oh average trump ",2020-09-18,"22:24:26","poll added oh civiqs new oh average ",1,"postive","biden"
"64","poll added in mi civiqs to biden trump new mi average biden ",2020-09-18,"22:22:03","poll added mi civiqs new mi average ",1,"postive","biden"
"65","poll added in az siena wp to biden trump jorgensen new az ",2020-09-18,"22:18:00","poll added az siena wp jorgensen new az ",1,"postive","biden"
"66"," you dont have to lie about joe biden if youre not going to vote for him no need for th ",2020-09-19,"23:57:10"," dont lie youre going vote need th ",-1,"negative","biden"
"67"," joe biden caught lying on camera i ",2020-09-19,"23:56:06"," caught lying camera ",-1,"negative","biden"
"68","mcconnell dismisses biden rule for scotus nominee as gop controls senate wh via ",2020-09-19,"23:43:50","mcconnell dismisses rule scotus nominee gop controls senate wh via ",0,"neutral","biden"
"69"," i think many on the left understand trump zero chance for progress while biden keeps the door ope ",2020-09-19,"23:41:59"," think many left understand zero chance progress keeps door ope ",2,"postive","biden"
"70","the stakes are too high contact me if youd like to learn how to make calls for bidenharris ",2020-09-19,"23:38:43"," stakes high contact youd like learn make calls bidenharris ",2,"postive","biden"
"71","a new npr poll reveals that biden is leading trump by a substantial margin points among likely voters ",2020-09-19,"23:30:00"," new npr poll reveals leading substantial margin points among likely voters ",2,"postive","biden"
"72","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-19,"23:25:30","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"73"," bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ba ",2020-09-19,"23:25:22"," bernie made better campaign get isnt everyones st choice wasnt mine ba ",2,"postive","biden"
"74","time to wake up join me for this joe biden for president event ",2020-09-19,"23:05:01","time wake join president event ",2,"postive","biden"
"75","social security medicare and the election where do trump and biden stand do you know the differences and simi ",2020-09-19,"23:00:19","social security medicare election stand know differences simi ",0,"neutral","biden"
"76","its time to reward hard work in america not wealth joe biden ",2020-09-19,"22:49:18"," time reward hard work america wealth ",-1,"negative","biden"
"77","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-19,"22:25:45","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"78","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-19,"22:25:37","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"79","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-19,"22:25:33","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"80","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-19,"22:25:30","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"81","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-19,"22:25:22","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"82","few trump or biden supporters have close friends who back the opposing candidate via ",2020-09-19,"22:20:02"," supporters close friends back opposing candidate via ",2,"postive","biden"
"83","the presidential debates between biden amp trump should also broadcast on public tv amp be live streamed online in real ",2020-09-19,"22:15:11"," presidential debates amp also broadcast public tv amp live streamed online real ",2,"postive","biden"
"84","exclusive joe biden camp gets thousands in donations from chinese communist party employees including tiktok ",2020-09-19,"22:07:26","exclusive camp gets thousands donations chinese communist party employees including tiktok ",1,"postive","biden"
"85","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-19,"21:25:45","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"86","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-19,"21:25:42","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"87","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-19,"21:25:37","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"88","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-19,"21:25:35","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"89","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-19,"21:25:22","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"90","poll added in mo rrg to biden trump new mo average trump up ",2020-09-19,"21:12:11","poll added mo rrg new mo average ",1,"postive","biden"
"91","women and young people may not vote biden but theyll vote ruth ",2020-09-19,"21:09:29","women young people may vote theyll vote ruth ",-1,"negative","biden"
"92"," women and young people may not vote biden but theyll vote ruth ",2020-09-19,"21:09:04"," women young people may vote theyll vote ruth ",-1,"negative","biden"
"93","trump best case vs biden has changed biden by biden trump biden by biden trump ",2020-09-19,"21:06:43"," best case vs changed ",0,"neutral","biden"
"94","who ever votes for joe biden i consider who is a pedophile and supports one in office ",2020-09-20,"23:55:56"," ever votes consider pedophile supports one office ",1,"postive","biden"
"95","the voters of this country should be heard biden says ",2020-09-20,"23:50:49"," voters country heard says ",0,"neutral","biden"
"96","this implies an swing to biden over nationally that would be a point biden win a few points hig ",2020-09-20,"23:33:12"," implies swing nationally point win points hig ",1,"postive","biden"
"97","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-20,"23:26:07","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"98","so like the president stated that he wasnt going to allow us to have joe biden like he was a ",2020-09-20,"23:26:06"," like president stated wasnt going allow us like ",4,"postive","biden"
"99","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-20,"23:26:02","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"100","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-20,"23:25:58","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"101","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-20,"23:25:53","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"102","as supreme court fight heats up biden urges republican senators to follow your conscience ",2020-09-20,"23:20:38"," supreme court fight heats urges republican senators follow conscience ",1,"postive","biden"
"103","icymi biden wants to lessen our reliance on a nuclear deterrent ",2020-09-20,"23:19:01","icymi wants lessen reliance nuclear deterrent ",-2,"negative","biden"
"104","michigan polling average jul biden sep biden ",2020-09-20,"23:15:01","michigan polling average jul sep ",0,"neutral","biden"
"105","wisconsin polling average jul biden sep biden no change ",2020-09-20,"23:14:29","wisconsin polling average jul sep change ",0,"neutral","biden"
"106","there are days left until the election between joe biden and donald trump here is number of the top doad ",2020-09-20,"23:07:34"," days left election number top doad ",1,"postive","biden"
"107","social security medicare and the election where do trump and biden stand do you know the differences and simi ",2020-09-20,"23:00:21","social security medicare election stand know differences simi ",0,"neutral","biden"
"108","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-20,"22:25:40","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"109","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-20,"22:25:35","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"110","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-20,"22:25:31","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"111","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-20,"22:25:22","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"112","voter enthusiasm for joe biden ",2020-09-20,"22:23:16","voter enthusiasm ",2,"postive","biden"
"113","joe biden refuses to release his list of supreme court contenders ",2020-09-20,"22:22:13"," refuses release list supreme court contenders ",0,"neutral","biden"
"114","voter enthusiasm for joe biden ",2020-09-20,"22:21:05","voter enthusiasm ",2,"postive","biden"
"115","your mind is made up with biden vs trump i know are you as clear and certain about all the other races that will ",2020-09-20,"22:17:42"," mind made vs know clear certain races will ",2,"postive","biden"
"116","biden got a point for the first time from donald trump mouth ",2020-09-20,"22:13:30"," got point first time mouth ",0,"neutral","biden"
"117","but not all hostility is created equal if it has any hostility it is bad for ados biden is racist if it has an ",2020-09-20,"21:48:58"," hostility created equal hostility bad ados racist ",-1,"negative","biden"
"118","trump new ad has honorable vet hating biden other honorable vets support bidens s see trump as weak and dangerous ",2020-09-20,"21:36:38"," new ad honorable vet hating honorable vets support bidens s see weak dangerous ",1,"postive","biden"
"119","trumps plan to replace ginsburg an abuse of power says biden ",2020-09-20,"21:27:57"," plan replace ginsburg abuse power says ",-1,"negative","biden"
"120","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-20,"21:25:36","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"121","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-20,"21:25:30","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"122"," bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i b ",2020-09-20,"21:25:28"," bernie made better campaign get isnt everyones st choice wasnt mine b ",2,"postive","biden"
"123","the entertainment industry ignores sex offenses until it comes to light then act outraged they support biden but ",2020-09-20,"21:04:54"," entertainment industry ignores sex offenses comes light act outraged support ",0,"neutral","biden"
"124"," in a democracy the peoples votes have to be earned what exactly has biden done to earn those votes w ",2020-09-20,"21:02:07"," democracy peoples votes earned exactly done earn votes w ",2,"postive","biden"
"125","save your second amendment and all other amendments vote biden ",2020-09-20,"20:57:03","save second amendment amendments vote ",1,"postive","biden"
"126","yikes thats nearly of the us populationgt joe biden says million people will die from covid by the end ",2020-09-20,"20:26:28","yikes thats nearly us populationgt says million people will die covid end ",-1,"negative","biden"
"127","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-20,"20:25:55","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"128","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-20,"20:25:46","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"129","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-20,"20:25:35","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"130","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-20,"20:25:30","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"131","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-20,"20:25:22","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"132","his handlers are keeping a tight leash gt biden immediately flees from podium after philadelphia speech ignores re ",2020-09-20,"20:23:31"," handlers keeping tight leash gt immediately flees podium philadelphia speech ignores re ",-2,"negative","biden"
"133","supreme court biden accuses trump and republicans of abuse of power ",2020-09-20,"20:23:12","supreme court accuses republicans abuse power ",-1,"negative","biden"
"134"," presidential election news update bidens once maligned digital operation raises big money by embodying cand ",2020-09-21,"23:50:15"," presidential election news update bidens maligned digital operation raises big money embodying cand ",1,"postive","biden"
"135"," presidential election news update biden marks grim coronavirus milestone says trump panicked on pandemic ",2020-09-21,"23:44:47"," presidential election news update marks grim coronavirus milestone says panicked pandemic ",-3,"negative","biden"
"136","social security medicare and the election where do trump and biden stand do you know the differences and simi ",2020-09-21,"23:30:04","social security medicare election stand know differences simi ",0,"neutral","biden"
"137","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-21,"23:25:36","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"138","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-21,"23:25:34","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"139","biden was in my hometown today almost seems like there were more trump supporters ",2020-09-21,"23:25:29"," hometown today almost seems like supporters ",4,"postive","biden"
"140","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-21,"23:25:26","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"141","so the press is shilling for biden what else is new ",2020-09-21,"23:24:17"," press shilling else new ",1,"postive","biden"
"142","help with the tuesday phone bank with sj for joe biden they will be calling voters to get out the vote for joe bi ",2020-09-21,"23:20:25","help tuesday phone bank sj will calling voters get vote bi ",1,"postive","biden"
"143","when biden inevitably loses it is important for progressives to remind liberals and centrists that they were warne ",2020-09-21,"23:12:25"," inevitably loses important progressives remind liberals centrists warne ",-1,"negative","biden"
"144"," presidential election news update wisconsin campaign memo biden ignores scotus slams trump on covid ",2020-09-21,"23:05:13"," presidential election news update wisconsin campaign memo ignores scotus slams covid ",-1,"negative","biden"
"145","i would love to see mr biden interviewed by i would love to see his list of supreme court nomine ",2020-09-21,"22:53:08"," love see mr interviewed love see list supreme court nomine ",2,"postive","biden"
"146","usa minnesota redfield amp wilton poll presidential election biden dems centreleft trump gop conserv ",2020-09-21,"22:43:38","usa minnesota redfield amp wilton poll presidential election dems centreleft gop conserv ",0,"neutral","biden"
"147"," are you voting for biden or trump as in not rd party will you be okay if the major candidate you oppose ",2020-09-21,"22:41:05"," voting rd party will okay major candidate oppose ",0,"neutral","biden"
"148","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-21,"22:25:31","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"149"," bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-21,"22:25:23"," bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"150","usa georgia redfield amp wilton poll presidential election trump gop conservative biden dems centrel ",2020-09-21,"22:24:40","usa georgia redfield amp wilton poll presidential election gop conservative dems centrel ",-1,"negative","biden"
"151","biden harris vintage presidential election tshirt ",2020-09-21,"22:06:21"," harris vintage presidential election tshirt ",0,"neutral","biden"
"152","usa maine siena poll for the new york times presidential election biden dems centreleft trump gop ",2020-09-21,"21:38:46","usa maine siena poll new york times presidential election dems centreleft gop ",1,"postive","biden"
"153","biden harris build back better black lives matter tshirt ",2020-09-21,"21:34:59"," harris build back better black lives matter tshirt ",2,"postive","biden"
"154","shameful hundreds of arizona republicans for biden signs have been stolen and vandalized across the state whe ",2020-09-21,"21:33:19","shameful hundreds arizona republicans signs stolen vandalized across state whe ",-2,"negative","biden"
"155","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-21,"21:25:22","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"156"," every candidate is flawed do i take biden with dementia or trump with narcissistic perso ",2020-09-22,"23:59:43"," every candidate flawed take dementia narcissistic perso ",-1,"negative","biden"
"157","trump will react with characteristic grace at cindy mccains public endorsement of joe biden ",2020-09-22,"23:58:59"," will react characteristic grace cindy mccains public endorsement ",3,"postive","biden"
"158","cindy mccain makes it official announcing her public endorsement for after mr biden revealed it was com ",2020-09-22,"23:49:16","cindy mccain makes official announcing public endorsement mr revealed com ",2,"postive","biden"
"159"," presidential election news update cindy mccain wife of late gop senator is endorsing joe biden ",2020-09-22,"23:45:23"," presidential election news update cindy mccain wife late gop senator endorsing ",0,"neutral","biden"
"160"," has been in dc forhow many years now no not just yearsdecades biden sees the world from his y ",2020-09-22,"23:34:36"," dc forhow many years now just yearsdecades sees world y ",0,"neutral","biden"
"161","social security medicare and the election where do trump and biden stand do you know the differences and simi ",2020-09-22,"23:30:05","social security medicare election stand know differences simi ",0,"neutral","biden"
"162"," bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-22,"23:26:00"," bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"163","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-22,"23:25:53","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"164","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-22,"23:25:44","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"165","leftwingb bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i ",2020-09-22,"23:25:29","leftwingb bernie made better campaign get isnt everyones st choice wasnt mine ",2,"postive","biden"
"166"," bernie made this a better campaign and i get that biden isnt everyones st choice he wasnt mine i b ",2020-09-22,"23:25:22"," bernie made better campaign get isnt everyones st choice wasnt mine b ",2,"postive","biden"
"167","joe rogan hosting trumpbiden debate will smash all content records via ",2020-09-23,"23:39:49"," rogan hosting trumpbiden debate will smash content records via ",1,"postive","biden"
"168","state of the race in massachusetts as of polling average biden from yesterday trump ",2020-09-23,"23:34:04","state race massachusetts polling average yesterday ",0,"neutral","biden"
"169","when i hear speak i cant help but feel dumber she is the worst vp that biden could have ever picke ",2020-09-23,"23:33:33"," hear speak cant help feel dumber worst vp ever picke ",-1,"negative","biden"
"170","social security medicare and the election where do trump and biden stand do you know the differences and simi ",2020-09-23,"23:30:05","social security medicare election stand know differences simi ",0,"neutral","biden"
"171"," all the women who have spoken out against joe biden ",2020-09-23,"23:29:52"," women spoken ",0,"neutral","biden"
"172"," yes he will if his rigging of the defeated biden",2020-09-23,"23:27:36"," yes will rigging defeated ",1,"postive","biden"
"173","a criminal referral being sent to the doj for joe biden for his connections to burisma biden possibly committed se ",2020-09-23,"23:21:52"," criminal referral sent doj connections burisma possibly committed se ",1,"postive","biden"
